organization,location,description,website
The Charles R. Bronfman Centre for the Israel Experience: Mifgashim,Israel,"The Charles R. Bronfman Centre for the Israel Experience: Mifgashim was created to assist Birthright Israel program purveyors and individuals interested in planning and implementing a structured mifgash. Mifgash, meaning ""encounter"" in Hebrew, refers to the multi-day peer-to-peer meeting between young adult Jews from abroad and from Israel. Every Birthright Israel trip incorporates Israelis of the same age who join the trips for five to ten days and experience Israel along with their peers from the Diaspora. 

In the first two years of Tagilt-Birthright Israel trips, the Mifgashim program was a meeting between Israelis and Diaspora participants that lasted a few hours.  Very quickly, though, it became a central and integral part of the ten-day educational experience.",
The Charles Bronfman Prize,United States,"The Charles Bronfman Prize celebrates the vision and endeavor of an individual or team under the age of fifty whose humanitarian work, combined with their Jewish values, has significantly improved the world. The goal of the Prize is to recognize dynamic leaders whose innovation and impact serve as inspiration for the next generations.",http://www.thecharlesbronfmanprize.com/
"The Charles Bronfman Institute for Personalized Medicine, Icahn School of Medicine at Mount Sinai ",United States,The mission of The Charles Bronfman Institute for Personalized Medicine is to personalize disease risk assessment and improve responsiveness to treatments for patients through innovative translational genomics and genetics research. Our goal is to pioneer new advancements in healthcare for patients and providers through the delivery of personalized data-driven clinical care.,http://icahn.mssm.edu/research/institutes/ipm
The Coalition for the Advancement of Jewish Education,United States,The original Coalition for the Advancement of Jewish Education (CAJE) was founded in 1976 and over the next 32 years changed the landscape of Jewish education in the US and beyond. NewCAJE is an organization in transition. A generation of seasoned educators is interacting with a new generation of Jewish educators to formulate a vision for an organization that will move into the future with this and every new generation of educators.,http://www.newcaje.org/
The College of William & Mary,United States,"We're famous for our rigorous liberal arts curriculum and our dedicated, engaged professors. Our students are nothing short of exceptional; they're scholars, athletes, activists, musicians, world travelers and generous volunteers. The Foundation created the Andrea and Charles Bronfman Distinguished Visiting Professorship in Judaic Studies.",http://www.wm.edu/
The Council for Canadian Unity,Canada,"The Canadian Unity Council began as the Canada Committee, became the Council For Canadian Unity and finally the Canadian Unity Council.  It was formed in the mid-1960’s by five or six Montreal businessmen with the mission of countering the growing separatist movement in Quebec at that time. The Council organized hundreds of symposia and discussions in every part of Canada.  There was not a province or territory where the CUC was not active from the very beginning.  Over its forty year history, the Council played a key role in promoting Canadian Unity through a variety of programs and activities. ",
The Gift of New York ,United States,"As a response to the horrific events of September 11, 2001, The Gift of New York was launched with unanimous participation from 261 New York-area arts, entertainment and cultural institutions and with two guiding principles: to respect the privacy of the families who had lost loved ones on 9/11 and to allow them to use the program at their own pace. Over the course of eighteen months, The Gift of New York was able to offer families more than 65,000 tickets to artistic, cultural sports and live entertainment events, not including thousands of free admission passes to museums, zoos and botanical gardens, and other non-reserved seat activities in NYC and the surrounding regions.",
The Green Environment Fund,Israel,"In 2002, ACBP joined forces with several other foundations to form the Green Environment Fund, on the assumption that combined resources, experience, and knowledge would enable the partners to influence the field more than anyone could do alone. The Green Environment Fund (GEF) and its micro-grant program, the SHELI Fund, made its final grants in 2014. The organization witnessed a major shift in the way that the Israeli public, government, and industry view environmental issues. Policy makers now take into consideration these concerns, which are often at the top of the public agenda as well. There is a growing commitment in Israel to sustainability, wherein environmental principles determine decisions in the areas of transportation, energy and open spaces and more.",
The Hebrew University of Jerusalem,Israel,The Rothberg International School at The Hebrew University of Jerusalem offers the oldest and largest undergraduate study abroad program in Israel. A grant was awarded to transform the teaching methods of the Hebrew language ulpan classes through the development of computer technology for second-language teaching. In addition a special program grant aims to link Israelis with international students in order to guarantee that overseas students meet their Israeli colleagues in informal situations and have a chance to develop relationships. The School of Computer Science and Engineering was founded with the goal of expanding in further engineering related directions at the cutting edge of scientific research. A grant was awarded to improve lab and work conditions incentivizing Israelis working abroad to return to the school. ,http://new.huji.ac.il/en
The Heschel Center for Sustainability,Israel,"The Heschel Center for Sustainability develops and implements the vision of sustainability: a just and cohesive society, a robust and democratic economy, and a healthy and productive environment to all of its residents. The center bridges theoretical knowledge and practical methods, and creatively spreads the message of sustainability assisting change makers from every sector of society to promote significant change in Israel.",http://www.heschel.org.il/heschelen-media
The Institute for Jewish & Community Research (IJCR),United States,"The Institute for Jewish & Community Research (IJCR) is an independent, non-partisan think tank that provides innovative research and pragmatic policy analysis on a broad range of issues including racial and religious identity, philanthropy, and anti-Semitism.",http://jewishresearch.org
"The Israel Museum, Jerusalem",Israel,"Believing that culture was a key to Israel’s future, the Bronfman family joined Teddy Kollek’s efforts to establish a national museum in Jerusalem, and contributed the Samuel and Saidye Bronfman Archaeology Wing of the Israel Museum in 1965. In that wing the best of Israel’s excavated archeology is presented, and reveals the narrative of the Land of Israel and the people of Israel from earliest times as recorded in archeological materials.  When the Museum’s total renewal was planned, the renovation of the archeological wing was undertaken by Charles Bronfman as a most significant contribution to the entire project.  The concept was to return to the beautiful design of Alfred Mansfield, the original architect of the Museum and of the wing.  James Snyder, director of the Museum today and the guide of the renovation said of Mansfield’s work “With sculptural clarity, his free-floating concrete roof slabs, supported by single central columns in form-cast concrete-clad enclosures, and his clerestory windows emitting translucent light were intended to provide a cool backdrop for the display of the warm stone and clay archeology of the ancient land.”  The renovation, completed in 2010, restored Mansfield’s work, reinforced by the most modern and excellent lighting and cases which allow a beautiful and dramatic presentation of thousands of pieces. These relate the narrative in a clear manner, equally accessible to visitors who come with little background and visitors with much background.  From pre-historic periods, through the settlement of Canaan, the development of monotheism, the Northern and Southern kingdoms, the history of Jerusalem, Hellenism, the birth of Christianity and the influence of Islam—all appear in the seven galleries of the Wing from a universalistic perspective.",http://www.imj.org.il/en/
"The Israel National Museum of Science, Technology & Space",Israel,"The Israel National Museum of Science, Technology & Space – Daniel & Matilde Recanati Center, Israel’s premier institution of informal science education, is dedicated to preserving, perpetuating, popularizing and promoting, the rich cultural heritage of science, enhancing science literacy among Israelis of all ages. Most particularly, it fosters a love of science among Israeli children and youth-- from all backgrounds and geographic locations and cultivates excellence among them. ",http://www.madatech.org.il/en
The Israel Project Inc.,United States,"The Israel Project (TIP) is a one-stop source for detailed and accurate information about Israel and the Middle East. We are a non-profit, independent, nonpartisan organization headquartered in Washington DC with a second major center in Jerusalem and representatives in Beijing and New Delhi.",http://www.theisraelproject.org
The Jerusalem Foundation,Israel,"The Jerusalem Foundation works toward creating an open, equitable and modern society by responding to the needs of residents and improving their quality of life through a comprehensive approach centered on community vitality, cultural life, and coexistence for all Jerusalem's residents. Some of the flagship projects ACBP has been involved in are: Noah’s Ark Sculpture Park and The Center for Children at Risk. ",http://www.jerusalemfoundation.org
The Jerusalem Institute for Israel Studies,Israel,"The Jerusalem Institute for Israel Studies is a think tank for research & ideas on Jerusalem, environmental and innovational policy in Israel, and management of the Israeli-Palestinian conflict. ",http://www.jiis.org/
The Jerusalem Khan Theatre,Israel,"The Khan Theatre is the only producing repertoire-theatre in Jerusalem today and is considered to be one of the leading in the country. The central goals of the Khan are to lead, strengthen, organize, and implement activities pertaining to culture, the arts, society, entertainment, and the community. ",http://www.khan.co.il/
The Jewish Board of Family and Children’s Services,United States,"The Jewish Board of Family and Children's Services (The Jewish Board) helps New Yorkers realize their potential and live as independently as possible. JBFCS promotes resilience and recovery by addressing all aspects of an individual’s life including mental and physical health, family, housing, employment and education. Across the five boroughs and in Westchester, we serve more than 43,000 New Yorkers from all religious, ethnic and socioeconomic backgrounds each year.  ",http://www.jbfcs.org
The Jewish Federations of North America (JFNA),United States,"The Jewish Federations of North America (JFNA) brings together 151 Federations and 300 Network Communities to maximize our impact as the central address of North American Jewry. JFNA provides services that build the capacity of local Jewish communities. We help Federations learn from one another, build affinity groups, and provide training, collateral materials and seed funding for innovation. ",http://www.jewishfederations.org/
The Jewish Theological Seminary of America,United States,"The Jewish Theological Seminary of America is a preeminent institution of Jewish higher education that integrates rigorous academic scholarship and teaching with a commitment to strengthening Jewish tradition, Jewish lives, and Jewish communities.",http://www.jtsa.edu/
The Jewish Week,United States,"The Jewish Week, an independent community newspaper, is recognized widely as the largest and most respected Jewish newspaper in America. With two regional editions--Manhattan/Westchester/The Bronx and Long Island/Queens/Brooklyn/Staten Island editions--its print edition reaches more than 64,000 households each week. ",http://www.thejewishweek.com
The Karev Program for Educational Involvement,Israel,"The Karev Program for Educational Involvement (“Project Involvement”) is a response to the need to lengthen the school day and add cultural subjects which enrich the child's cognitive and emotional experiences. Through this program six hours are added to the school week, and subjects such as music, theatre, electronics, environment, photography, yoga, chess and many others are introduced to children who would otherwise have no access to them. ",http://karev.org.il/
The Mission Continues,United States,"The Mission Continues was founded in 2007 to provide opportunities for post-9/11 veterans to find purpose at home through community impact. Founder Eric Greitens, was inspired to launch the organization by his experience visiting Marines and soldiers who were wounded in combat after returning home from service in Iraq. Without exception, each service member expressed an unwavering desire to continue serving their country, even if they could no longer do so in the military. Today, The Mission Continues has operations in cities across the country. Veteran volunteers, alongside non-profit partners and community leaders, work to achieve critical objectives such as improving community education resources, eliminating food deserts, mentoring at-risk youth and more.",https://www.missioncontinues.org/
The Montreal Chest Institute Foundation,Canada,"Since 1903 the Montreal Chest Institute (MCI) has been a leader in treating respiratory ailments and has provided preventive, diagnostic, therapeutic, rehabilitative and palliative care services to hundreds of thousands of grateful Montrealers. The Montreal Chest Institute Foundation works very ambitiously to maintain the MCI’s position as a health care leader. ",http://www.mcifoundation.ca/
The Montreal Children's Hospital Foundation,Canada,The mission of the Foundation is to support excellence in care at The Montreal Children’s Hospital of the McGill University Health Centre.,http://childrenfoundation.com
The Montreal General Hospital Foundation,Canada,"The Montreal General Hospital Foundation is dedicated to raising and managing funds in support of excellence in patient care, teaching and research at the Montreal General Hospital. These funds are invested in the priority needs of the hospital and its patients, in accordance with the wishes of our generous donors.",https://www.mghfoundation.com/
The Montreal Holocaust Memorial Centre,Canada,"The Montreal Holocaust Memorial Centre educates people of all ages and backgrounds about the Holocaust, while sensitizing the public to the universal perils of antisemitism, racism, hate and indifference.",http://www.mhmc.ca/en/ pages/contact-us
The Nesiya Institute,United States,The mission of the Nesiya Institute is to inspire North American and Israeli young people from diverse backgrounds to enrich Jewish life for themselves and others.,http://www.nesiya.org/Contact_Us/Contact_Us.htm
The New Jewish Home,United States,"The New Jewish Home (previously called Jewish Home Lifecare) provides healthcare services and assistance for elders. With more than 160 years of experience as a not-for-profit elder care system, The New Jewish Home provides a broad spectrum of care and serves as a resource on concerns of aging for elders and caregivers.",http://www.jewishhome.org/
The Peres Center for Peace,Israel,"The Peres Center – a non-profit, non-governmental, non-political organization - develops and implements a wide range of projects involving thousands annually bringing together a diverse and multi-faceted spectrum of participants: Jews and Arabs, Israelis and Palestinians; old and young; women, men, children and youth; professionals and agents of change.",http://www.peres-center.org/
The Portage Foundation,Canada,"Portage fosters the strengths and skills of substance dependent persons to enable them through comprehensive and cost-effective interventions based on the therapeutic community approach, to live lives of sobriety, filled with dignity, self-respect, and accomplishment.",http://www.portage.ca/
The Princess Margaret Cancer Foundation,Canada,"The mission of the Foundation is to raise and steward funds to deliver breakthrough research, exemplary teaching, and compassionate care at The Princess Margaret, one of the top 5 cancer research centers in the world.",http://www.pmhf.ca/
The Raymond F. Kravis Center for the Performing Arts,United States,"The Raymond F. Kravis Center for the Performing Arts, located in West Palm Beach, Florida, is one of the premier performing arts centers in the Southeast with a growing national and international reputation. True to the spirit in which it was created, the Center is expanding programming by initiating projects on local, national and international levels.",http://www.kravis.org/index.cfm?fuseaction=home.main&
The Sam Spiegel Film & Television School,Israel,"Since its founding, the school has defined the concept of the short film as a genre of its own, centered around a story, which aspires to emotionally move the viewer. In its 19 years, the school has put together some of the most advanced curriculum and production systems in the world.",http://jsfs.co.il/english/
The Schusterman Foundation,Israel,"The primary mission of the Schusterman Foundation – Israel (SFI) is to help strengthen the fabric of Israeli society by providing funding, technical assistance and leadership for new and existing philanthropic initiatives.",http://schusterman.org.il/contact.asp
The Social Venture Fund for Jewish-Arab Equality and Shared Society,United States,"JFNA launched the Social Venture Fund for Jewish-Arab Equality and Shared Society (SVF) in 2007 to strengthen and coordinate the Jewish community’s efforts to address the unmet needs of Israel’s Arab citizens. Each year, the SVF brings together Federations, foundations and individual philanthropists to make strategic financial investments in non-profit groups that focus on social change to promote equality in Israel.",http://jewishfederations.org/social-venture-fund
The Tisch Family Zoological Gardens in Jerusalem,Israel,"The establishment of the zoo in its present form was made possible thanks to the generosity of Tisch family of New York, under the auspices of the Jerusalem Foundation.",http://www.jerusalemzoo.org.il/len/
The United Synagogue of Conservative Judaism,United States,"United Synagogue of Conservative Judaism creates the spiritual, intellectual and managerial network that enables each of our kehillot to fulfill its sacred mission and connects all our kehillot with a common sense of community, shared mission and purpose. Together with other centers of energy identified with Conservative Judaism, we articulate and disseminate our approach to Judaism.",http://www.uscj.org/Aboutus/default.aspx
The University of British Columbia,Canada,"The University of British Columbia is a global centre for research and teaching, consistently ranked among the 40 best universities in the world.",http://www.ubc.ca/
The Washington Institute for Near East Policy,United States,The mission of The Washington Institute is to advance a balanced and realistic understanding of American interests in the Middle East and to promote the policies that secure them.,http://www.washingtoninstitute.org
Thomas More Institute for Adult Education,Canada,"The Thomas More Institute (TMI), a secular academic institution, offers a program of university level studies in the liberal arts.",http://www.thomasmore.qc.ca
Tiberius Jewish/Israeli Film Festival,Israel,"In support of completion funds for new films and for an International Advisory Committee (Jury). Support for films including, ""Cross Fire,""  "" The Green Fields,"" ""Terezin Diary,"" ""Ghetto,"" and ""Diary.""",
Town of Palm Beach United Way Inc.,United States,"For more than 65 years, the Town of Palm Beach United Way has been committed to improving lives and building strong communities throughout Palm Beach County.",http://www.palmbeachunitedway.org
UJA Federation of Greater Toronto,Canada,"UJA Federation's mission is to preserve & strengthen the quality of Jewish life in Greater Toronto, Canada, Israel and around the world through philanthropic, volunteer and professional leadership.",http://www.jewishtoronto.com
UJA Federation of New York,United States,"Through UJA-Federation of New York, you care for people in need, inspire a passion for Jewish life and learning, and strengthen communities in New York, in Israel, and around the world.",http://www.ujafedny.org/contact-us/
United Hospital Fund,United States,"The United Hospital Fund is a nonprofit health services research and philanthropic organization whose primary mission is to shape positive change in health care for the people of New York. UHF advances policies and supports programs that promote high-quality, patient-centered health care services that are accessible to all.",http://www.uhfnyc.org/
University of Calgary,Canada,"The University of Calgary is Canada’s leading next-generation university–a living, growing and youthful institution that embraces change and opportunity with a can-do attitude. ",http://www.ucalgary.ca/
Université de Montréal,Canada,"Founded in 1878, the Université de Montréal, with its two affiliated schools, the École Polytechnique and the HEC Montréal, is now the largest university in Quebec and the second largest in Canada. ",http://www.umontreal.ca/
Université de Sherbrooke,Canada,"Located in Canada, in the Province of Quebec, the Université de Sherbrooke is a French-speaking institution that offers you the opportunity to benefit from an academic education that is recognized and valued around the world.",https://www.usherbrooke.ca/
"University of Dublin, Trinity College",Ireland,"The Herzog Centre is the first and only Centre for the study of Jewish and Near Eastern Religions and Culture in Ireland. It was established in honour of the family of the former president of Israel, Chaim Herzog, whose father Isaac Herzog was Chief Rabbi of Ireland from 1919 to 1937. The Centre's activities focus on the development of the subject in the University, and in the wider community. Undergraduate courses in Near Eastern, Jewish and Islamic Studies are taught in all four years and students take options spanning the ancient, medieval and modern periods. Encountering Jewish culture is not confined to the classroom and the Centre organises various activities that include study tours. Central to the Centre's mission is the provision of public education.",https://www.tcd.ie/nmes/herzog-centre/
University of Haifa,Israel,"The University of Haifa is the most pluralistic institution of higher education in Israel: sons and daughters of both veteran cities and development towns, kibbutzim and moshavim, new immigrants, Jews, Arabs, and Druzes, IDF officers and security personnel—all sitting together on the bench of knowledge in an atmosphere of coexistence, tolerance, and mutual respect. The University considers the link between academic excellence and social responsibility as its flagship, and service to the community as one of its important goals.",http://www.haifa.ac.il/
University of New Brunswick,Canada,"Our mission is to create the premier university environment for our students, faculty and staff in which to learn, work and live. We will provide an exceptional and transformative education for our students, by encouraging initiative and innovation, unlocking their creative potential. ",http://www.unb.ca/
University of Ottawa,Canada,"Since 1848, the University of Ottawa has been Canada's university: a reflection, an observatory and a catalyst of the Canadian experience in all its complexity and diversity. Our university is characterized by its unique history, its commitment to bilingualism, its location both in the heart of the national capital and at the juncture of French and English Canada, its special commitment to the promotion of French culture in Ontario and to multiculturalism.",http://www.uottawa.ca/
University of Oxford,England,The University of Oxford aims to lead the world in research and education. They seek to do this in ways which benefit society on a national and a global scale.,http://www.ox.ac.uk/
University of Saskatchewan,Canada,"The University of Saskatchewan belongs to the people of Saskatchewan. As an academic community, our mission is to achieve excellence in the scholarly activities of teaching, discovering, preserving and applying knowledge.",http://www.usask.ca/
University of Toronto,Canada,"The Andrea and Charles Bronfman Chair in Israeli Studies is dedicated to teaching and scholarship on modern Israeli society, broadly understood, and provides leadership in developing this field across disciplines within the University, in building strong ties with Israeli institutions, in communicating research to the public constituency through the annual Andrea and Charles Bronfman Lecture, and in encouraging research in Israel and related study by young scholars. Professor Emanuel Adler, a political scientist, holds the chair.  The Andrea and Charles Bronfman Student Award Fund in Israeli Studies offers support to undergraduate and graduate students of the University of Toronto who are traveling to Israel for study or research, or who are pursuing study or research in Canada related to Israel. The Fund also offers awards for the best papers based on research conducted in Israel by students in receipt of research support from the Fund.",http://www.utoronto.ca/
University of Waterloo,Canada,"In the heart of Waterloo Region, at the forefront of innovation, the University of Waterloo is home to world-changing research and inspired teaching. The Jewish Studies program is an interdisciplinary program of study which may be taken in conjunction with many existing programs in the Arts and other faculties. It is the goal of the Jewish Studies program that this treasured heritage be shared with an international community of Jews and non-Jews who are seeking wider knowledge and understanding.",https://uwaterloo.ca/
University of Winnipeg,Canada,"The University of Winnipeg is a dynamic campus and a downtown hub that connects people from diverse cultures and nurtures global citizens. It offers high-quality undergraduate and graduate programs including several that are unique in Western Canada, for example, a Bachelor of Arts in Human Rights, and a Master’s degree in Development Practice with a focus on Indigenous Development. ",https://www.uwinnipeg.ca/
Weizmann Institute of Science,Israel,"The Weizmann Institute of Science is one of the world’s leading multidisciplinary research institutions. Hundreds of scientists, laboratory technicians and research students working on its lushly landscaped campus embark daily on fascinating journeys into the unknown, seeking to improve our understanding of nature and our place within it.",http://www.weizmann.ac.il
Westmount Public Library,Canada,"The mission of the Westmount Public Library is to enrich the community by providing a welcoming environment in which to read, learn and discover. ",http://www.westlib.org/library
Wilfrid Laurier University,Canada,"Wilfrid Laurier University is devoted to excellence in learning, research, scholarship and creativity.  It challenges people to become engaged and aware citizens of an increasingly complex world. It fulfills its mission by advancing knowledge, supporting and enhancing high-quality undergraduate, graduate and professional education, and emphasizing co-curricular development of the whole student.",https://www.wlu.ca
"Woman to Woman, Jerusalem Shelter for Battered Women",Israel,"Woman to Woman, a non-profit organization dedicated to helping the victims of domestic violence in Israel, established the Jerusalem Shelter for Battered Women in 1982. Since then, under the auspices and supervision of the Israel Ministry of Social Affairs, it has aided hundreds of women who have suffered abuse at the hands of their partners. ",http://www.jerusalemshelter.org.il/web/8888/nsf/sbs.py?&_ID=15817&did=5685&PF=26&G=15819&lang=EN
Women in Need (WIN),United States,"WIN transforms the lives of New York City homeless women and their children by providing a holistic solution of safe housing, critical services and ground-breaking programs they need to succeed on their own — so the women can regain their independence and their children can look forward to a brighter future.",http://winnyc.org/
World Faiths Development Dialogue,United States,"WFDD is a not-for-profit organization working at the intersection of religion and global development. WFDD has two central objectives: to reinforce, underscore, and publicize the synergies and common purpose of religions and development institutions addressing poverty; and to explore issues on which there is little consensus and where common ground is unclear among different faith traditions, within faiths, and between faiths and development institutions.",http://berkleycenter.georgetown.edu/wfdd
World Jewish Congress,United States,The World Jewish Congress is an international organization whose mission is to address the interests and needs of Jews and Jewish communities throughout the world.,http://www.worldjewishcongress.org/en/
World ORT Union,England,"ORT is the world's largest Jewish education and vocational training non-governmental organization. Its mission is to provide communities wherever they are, with the skills and knowledge necessary to cope with the complexities and uncertainties of their environment.",
World Union of Jewish Students (WUJS),Israel,"The mission of The World Union of Jewish Students is to foster the unity of Jewish students worldwide and to strive to ensure their participation in the fulfilment of the aspirations of the Jewish people, its continuity, and the development of its religious, spiritual, cultural and social heritage.",http://wujs.org.il/
WUJS Israel (formerly WUJS Institute Arad),Israel,"WUJS Arad was established in 1968 to provide a one year pluralistic program in Israel for recent college grads. It offered Ulpan classes to learn Hebrew and courses in Jewish and Israel Studies. In 2008, the decision was made to close the WUJS facility in Arad and to relocate in Jerusalem and Tel Aviv under the management of Hadassah's Young Judaea in Israel. ",http://www.wujsisrael.org/
YEDID – The Association for Community Empowerment,Israel,YEDID's mission is to empower Israelis to become self-sufficient and civically engaged members of society.,
Yeshiva University,United States,"Yeshiva University has been transforming lives for more than a century. Since its inception YU has been dedicated to melding the ancient traditions of Jewish law and life with the heritage of Western civilization, and each year we celebrate as future leaders make YU their home.",http://www.yu.edu/
YM-YWHA Montreal,Canada,"Montreal Jewish Community Centres, now celebrating its 100 -year anniversary, is a warm and welcoming place, where people have been meeting in familiar surroundings since 1910. Throughout the years, the YM-YWHA has strived to meet the needs of a changing society and community, and has evolved into an organization of vitality and diversity.",http://www.ymywha.com/
York University,Canada,"York University is a leading interdisciplinary research and teaching university in Canada. York offers a modern, academic experience at the undergraduate and graduate level in Toronto – Canada’s most international city. ",http://www.yorku.ca/
